itemID,reviewerID,rating
I008262202,U676540463,5.0
I869978482,U944253133,1.0
I204729036,U349231803,5.0
I612023758,U832529307,5.0
I446085295,U266546712,5.0
I724352257,U792783859,5.0
I601400330,U183521496,3.0
I893362010,U259444988,1.0
I795341865,U073808363,4.0
I112904845,U489987826,3.0
I777370111,U404251168,1.0
I848168934,U818827154,3.0
I348127641,U477770298,1.0
I004456836,U308080194,5.0
I704409182,U221807830,5.0
I008312929,U278382587,3.0
I379773322,U163935593,3.0
I738550465,U691630114,5.0
I499784902,U569900955,5.0
I043714986,U891532829,5.0
I071843172,U329095894,4.0
I473664243,U473978491,1.0
I325455066,U014375786,1.0
I611187797,U621581364,5.0
I020297627,U346439125,3.0
I011897132,U867444274,5.0
I693724734,U824115692,4.0
I884142347,U351966587,1.0
I260101106,U466085564,3.0
I833467301,U570048881,5.0
I125219393,U927489009,5.0
I936908630,U421866063,5.0
I618500320,U458811583,5.0
I962784291,U428223338,1.0
I303484394,U149080860,5.0
I487193960,U789058339,1.0
I243073120,U664735822,5.0
I092925649,U642385998,5.0
I944515253,U554257176,3.0
I843334952,U684317384,1.0
I857930641,U954214629,5.0
I586909898,U395659156,1.0
I655883713,U522354388,1.0
I401192055,U707567590,5.0
I920542965,U323509578,1.0
I197263543,U917803444,5.0
I092886234,U053447627,5.0
I158164428,U064417240,1.0
I871297500,U383885618,5.0
I071635260,U192508950,4.0
I860019971,U277528809,4.0
I109294889,U200565076,1.0
I831444411,U926819664,1.0
I860313101,U809336629,1.0
I943327764,U024829518,5.0
I972780869,U856409983,3.0
I952473214,U485623679,5.0
I005266262,U654514395,5.0
I067551352,U107317318,5.0
I436456341,U169765143,4.0
I517784954,U325396963,1.0
I678194306,U149686158,5.0
I120582374,U051779443,1.0
I861227572,U439014951,3.0
I073596938,U953850318,1.0
I175304441,U848030169,5.0
I134545947,U224255679,5.0
I001299021,U709028045,5.0
I448663782,U448216660,4.0
I770833410,U390983022,4.0
I828907257,U762136411,2.0
I824620496,U430745052,2.0
I726409333,U208811239,2.0
I708798669,U292947043,4.0
I594934525,U205887692,1.0
I624741990,U970596467,5.0
I244668552,U571008369,4.0
I478897088,U300994458,4.0
I513987790,U819539804,5.0
I122202284,U892219897,5.0
I475006061,U162809026,4.0
I986090201,U819023907,1.0
I230760189,U353415699,1.0
I594703707,U939078623,5.0
I919543950,U230570563,5.0
I901974016,U334214031,1.0
I573785013,U289434846,5.0
I397108671,U679038090,4.0
I061739775,U657240810,5.0
I460058400,U695612349,5.0
I541447975,U275934928,5.0
I571687836,U046487629,1.0
I068666216,U360866910,5.0
I260408763,U938026428,5.0
I945310836,U309292801,1.0
I963078877,U706286491,4.0
I383600946,U493328181,4.0
I356716024,U130341074,3.0
I543408794,U056100892,1.0
I129041072,U413061709,5.0
I996132332,U258697418,2.0
I593042728,U772881987,3.0
I187181128,U869276760,2.0
I261854538,U490168980,5.0
I311203726,U565709708,4.0
I355675962,U830625209,5.0
I206711415,U078263129,4.0
I969276141,U272692464,1.0
I122068921,U642829165,4.0
I665588042,U229869728,5.0
I352559380,U695644687,5.0
I539201006,U387281738,4.0
I363076637,U805470193,3.0
I655104556,U032547927,3.0
I888640171,U416212968,3.0
I049308235,U934389601,5.0
I660458877,U071279524,1.0
I504914989,U522697627,5.0
I129021021,U195120162,5.0
I969142530,U130164115,2.0
I365786623,U643807662,3.0
I606703648,U499001855,5.0
I758579552,U661756220,5.0
I724868852,U329561514,1.0
I393334686,U533302054,5.0
I777749225,U365437140,1.0
I750286125,U316915265,5.0
I103503188,U092760944,5.0
I579687437,U759099215,3.0
I578224238,U368557300,3.0
I377267687,U492773590,5.0
I901438602,U015450831,4.0
I079559272,U060875710,1.0
I828931027,U629201232,5.0
I582350826,U720556022,4.0
I904541034,U571177320,4.0
I599179967,U177571814,5.0
I370798727,U067024041,5.0
I233529837,U123198045,2.0
I608090239,U341937452,5.0
I255656609,U363995352,1.0
I872974603,U568662186,5.0
I006432972,U899634428,5.0
I691804953,U263103512,5.0
I814961215,U002953585,5.0
I748028100,U405873440,5.0
I177146239,U281901428,3.0
I931956075,U139814671,1.0
I697355516,U335058336,5.0
I392828156,U816827593,5.0
I584458527,U706397065,5.0
I485631820,U954555554,3.0
I766355327,U170934028,1.0
I695458829,U964722202,3.0
I649067086,U178569726,1.0
I931316048,U037279520,5.0
I083761412,U941781028,2.0
I537728773,U553413382,5.0
I178834392,U198676576,3.0
I318908532,U483004384,5.0
I629239823,U479689917,4.0
I613117720,U675107533,5.0
I629946025,U173638964,5.0
I827786424,U384344169,5.0
I229843456,U709516272,5.0
I519470539,U550600843,5.0
I202174458,U231909151,4.0
I441611068,U224143310,3.0
I641376375,U320402726,1.0
I794980555,U700857866,5.0
I772550059,U994060020,4.0
I722671922,U395720104,1.0
I807700665,U112982197,4.0
I278388929,U872837317,5.0
I930052273,U605518668,5.0
I304139960,U654786114,5.0
I805300828,U754661702,5.0
I081833888,U948094642,5.0
I749028090,U464854412,1.0
I457996959,U698521508,1.0
I757008774,U169561459,2.0
I946645526,U190287747,4.0
I980363329,U413484364,5.0
I189260093,U663193983,5.0
I904020238,U946034100,1.0
I568645939,U623975518,5.0
I579152627,U947068604,5.0
I179660882,U567358449,5.0
I347686799,U433891957,5.0
I707541641,U629160602,2.0
I745144882,U516688425,1.0
I857179758,U957465157,5.0
I818453349,U374397020,4.0
I383784446,U043957884,4.0
I904020238,U094281607,4.0
I374278579,U377338393,4.0
I841106875,U780465001,2.0
I862786132,U381502055,5.0
I434822126,U291369926,2.0
I279506085,U995130048,5.0
I693453229,U682409152,1.0
I895518771,U700804200,5.0
I958560828,U409644843,4.0
I017570308,U201842496,1.0
I618750954,U838043834,1.0
I579265751,U008699093,5.0
I305699342,U714442571,4.0
I139105691,U010320953,2.0
I228025676,U331529365,5.0
I071843172,U731805311,5.0
I450719977,U851654122,5.0
I493784778,U499565735,3.0
I818453349,U311954624,1.0
I499784902,U492176351,4.0
I250092490,U287592974,5.0
I073015209,U203686892,4.0
I847067062,U649452985,2.0
I970001686,U142330515,5.0
I309053469,U300427333,5.0
I674184625,U833072483,5.0
I235945222,U156985913,2.0
I667458722,U454825961,5.0
I722658278,U050529351,5.0
I756746992,U774718743,5.0
I145072869,U011556857,3.0
I384444379,U127254769,2.0
I828131746,U200726946,5.0
I692021642,U085368663,4.0
I234634471,U745446201,4.0
I094677645,U700367815,4.0
I106047937,U163798308,1.0
I045185757,U900133877,3.0
I333236990,U566992920,1.0
I291923181,U137378740,5.0
I872563440,U081462970,1.0
I660734464,U968382584,5.0
I772977360,U822329775,4.0
I176807774,U518127674,5.0
I934616915,U342363692,5.0
I700711169,U571596182,2.0
I445764029,U651731091,3.0
I675887802,U316898819,2.0
I327231361,U511640398,5.0
I741233478,U974406138,1.0
I595132976,U996256170,5.0
I513894060,U923008883,1.0
I590391424,U202857592,2.0
I980424594,U676420553,5.0
I688568687,U290165836,5.0
I714946022,U518931490,5.0
I661458736,U273065020,5.0
I576197853,U444782788,5.0
I443997024,U020555711,5.0
I190130849,U291416905,5.0
I404773428,U974846354,3.0
I632340604,U297644115,5.0
I845205092,U278837340,4.0
I923170012,U229848865,2.0
I708798669,U238584245,5.0
I763598964,U321749169,1.0
I586850617,U154608748,3.0
I204085299,U978605241,1.0
I227270775,U356625110,1.0
I492526331,U540413346,5.0
I535856725,U632565139,3.0
I659229823,U488156939,3.0
I344288543,U947157049,5.0
I493705600,U402044105,3.0
I347686803,U641337308,4.0
I420078935,U293099904,5.0
I146072901,U133881609,5.0
I803584085,U425161817,5.0
I968408029,U130471614,5.0
I887473506,U551282576,5.0
I401245838,U564185092,4.0
I153473137,U610078758,5.0
I097834052,U900857544,5.0
I703704033,U874725386,1.0
I038888571,U420675327,1.0
I639272689,U833742923,4.0
I718708487,U361050568,5.0
I660192341,U098516925,3.0
I841493602,U456054155,2.0
I412706310,U022034525,5.0
I052212529,U443627875,5.0
I013457500,U116223359,5.0
I615036534,U476234646,1.0
I471690395,U323823484,5.0
I620234144,U933451082,5.0
I047408191,U079075347,4.0
I786370137,U543098741,5.0
I747803497,U064201529,5.0
I852359065,U841739428,3.0
I821298168,U616531616,5.0
I794584052,U847850326,5.0
I235245561,U540647343,5.0
I651188987,U506195827,1.0
I512032333,U689126840,1.0
I309500210,U257286467,1.0
I177146239,U784439158,5.0
I931152629,U959930347,1.0
I409310298,U482077591,2.0
I520834345,U529955781,5.0
I292216392,U651588581,2.0
I457859181,U466820727,1.0
I694842504,U611366431,2.0
I857235247,U809142878,5.0
I770894854,U083142873,4.0
I958832472,U115862060,1.0
I793038272,U067914583,2.0
I337404513,U831591354,1.0
I085703070,U443267974,4.0
I943383421,U166050385,5.0
I312792094,U132330130,5.0
I155918450,U428798746,4.0
I545585477,U034582179,3.0
I583458654,U699618288,5.0
I156704618,U576398873,4.0
I741697391,U331310209,3.0
I754812747,U307914879,5.0
I479565274,U158676306,1.0
I638136162,U323626051,4.0
I141553234,U526380429,5.0
I748028126,U970238616,1.0
I640394258,U246627013,3.0
I756840439,U724830149,4.0
I078010425,U617535993,5.0
I043714986,U467834312,5.0
I171025348,U991739905,1.0
I582458621,U611201917,5.0
I094677645,U930994257,4.0
I363880520,U166751192,4.0
I232869348,U139849155,4.0
I935345870,U484002307,4.0
I109418277,U840487634,3.0
I956652737,U611566138,5.0
I048008280,U706876321,4.0
I739213100,U706935263,1.0
I780167739,U413292891,3.0
I599063860,U497366205,5.0
I003316678,U062667928,2.0
I339545017,U004227320,5.0
I738550465,U749888431,1.0
I893175298,U501763158,5.0
I446492517,U412075422,5.0
I661458736,U809348315,5.0
I490887477,U935298527,5.0
I806986863,U640751432,4.0
I238335062,U255173605,4.0
